city,Data,tmin,tmean,tmax,umimin,umimean,umimax,pr
Campinas,01-01-2024,19.95,25.85,31.75,55.26,73.53,91.8,0
Campinas,02-01-2024,20.09,25605,31.12,56,74.95,93.9,0
Campinas,03-01-2024,20.73,26735,32.74,52.76,75.43,98.1,0
Campinas,04-01-2024,20.61,26515,32.42,55.93,77965,100,16.51
Campinas,05-01-2024,19.16,25245,31.33,57.79,78895,100,0
Campinas,06-01-2024,19.22,25965,32.71,46.34,72.52,98.7,0
Campinas,07-01-2024,20.68,27.28,33.88,40.59,68745,96.9,0
Campinas,08-01-2024,22.87,29.6,36.33,36.46,67.23,98,0.25
Campinas,09-01-2024,20.25,27645,35.04,47.78,73.44,99.1,0.76
Campinas,10-01-2024,20.7,27725,34.75,45.56,72.78,100,16.76
Campinas,11-01-2024,21.31,27095,32.88,54.08,77.04,100,13.46
Campinas,12-01-2024,22.19,26695,31.2,64.61,82305,100,5842
Campinas,13-01-2024,21.43,25.97,30.51,70.59,85295,100,7.62
Campinas,14-01-2024,20.27,24.63,28.99,72.92,85.06,97.2,0
Campinas,15-01-2024,20.87,27065,33.26,55.94,77.97,100,0
Campinas,16-01-2024,22.09,26705,31.32,68.84,84.42,100,4572
Campinas,17-01-2024,21.99,27725,33.46,56.82,78.41,100,0
Campinas,18-01-2024,21.7,28.37,35.04,50.99,75495,100,2032
Campinas,19-01-2024,21.06,27.8,34.54,55.09,77545,100,16.76
Campinas,20-01-2024,21.14,27.52,33.9,58.09,79045,100,13.72
Campinas,21-01-2024,20.45,24.6,28.75,78.46,89.23,100,4064
Campinas,22-01-2024,20.19,25935,31.68,60.35,80175,100,0.25
Campinas,23-01-2024,19.47,24.6,29.73,62.14,80.37,98.6,0.25
Campinas,24-01-2024,17.44,19265,21.09,90.4,95.2,100,22.61
Campinas,25-01-2024,18.54,23.73,28.92,59.74,78.07,96.4,0
Campinas,26-01-2024,17.69,22.39,27.09,66.55,80375,94.2,0
Campinas,27-01-2024,18.74,23.58,28.42,62.63,80015,97.4,0
Campinas,28-01-2024,18.86,25315,31.77,42.36,71.18,100,1.27
Campinas,29-01-2024,17.05,22185,27.32,66.16,83.08,100,8.89
Campinas,30-01-2024,18.43,24.34,30.25,59.73,79865,100,1.27
Campinas,31-01-2024,21.55,27165,32.78,45.91,70205,94.5,0
Campinas,01-02-2024,16.82,24.79,32.76,50.81,75405,100,24.38
Campinas,02-02-2024,19.8,24705,29.61,54.25,76025,97.8,0
Campinas,03-02-2024,19.77,23465,27.16,73.32,85.86,98.4,0
Campinas,04-02-2024,19.24,23.75,28.26,73.36,86.68,100,0
Campinas,05-02-2024,18.18,23.72,29.26,66.46,83.23,100,0
Campinas,06-02-2024,20.04,26355,32.67,45.65,72475,99.3,0
Campinas,07-02-2024,21.02,26705,32.39,55.71,77455,99.2,0
Campinas,08-02-2024,19.66,26485,33.31,43.42,71.71,100,0
Campinas,09-02-2024,20.74,27355,33.97,46.88,73.14,99.4,0
Campinas,10-02-2024,21.3,27.93,34.56,46.25,73125,100,16.26
Campinas,11-02-2024,20.62,27285,33.95,43.9,71.05,98.2,0
Campinas,12-02-2024,21.41,28125,34.84,44.1,72.05,100,4318
Campinas,13-02-2024,21.55,27.73,33.91,52.82,76.41,100,0
Campinas,14-02-2024,21.04,27.87,34.7,50.95,75475,100,7112
Campinas,15-02-2024,20.77,24.58,28.39,78.9,89.45,100,0.76
Campinas,16-02-2024,19.06,21.97,24.88,84.4,92.2,100,7366
Campinas,17-02-2024,19.67,24425,29.18,69.34,84.32,99.3,0
