Tmin,Tmax,Pr,Date,Lat,Lon,,,,,,
15.7,24,-99.9,01/01/1971,-31776,-52359,,,,,,
15.9,26.1,-99.9,02/01/1971,-31776,-52359,,,,,,
20,26.6,-99.9,03/01/1971,-31776,-52359,,,,,,
19.4,27.9,-99.9,04/01/1971,-31776,-52359,,,,,,
16.9,25.9,-99.9,05/01/1971,-31776,-52359,,,,,,
15.9,27.5,-99.9,06/01/1971,-31776,-52359,,,,,,
16.7,28.8,-99.9,07/01/1971,-31776,-52359,,,,,,
20.1,26.5,-99.9,08/01/1971,-31776,-52359,,,,,,
18.3,23,-99.9,09/01/1971,-31776,-52359,,,,,,
18.4,20.8,-99.9,10/01/1971,-31776,-52359,,,,,,
20.1,28.2,-99.9,11/01/1971,-31776,-52359,,,,,,
20.7,30.3,-99.9,12/01/1971,-31776,-52359,,,,,,
17.6,26.1,-99.9,13/01/1971,-31776,-52359,,,,,,
14.2,31,-99.9,14/01/1971,-31776,-52359,,,,,,
18.5,31.5,-99.9,15/01/1971,-31776,-52359,,,,,,
17.4,28.7,-99.9,16/01/1971,-31776,-52359,,,,,,
20,30.1,-99.9,17/01/1971,-31776,-52359,,,,,,
20.1,31.8,-99.9,18/01/1971,-31776,-52359,,,,,,
21.7,30.2,-99.9,19/01/1971,-31776,-52359,,,,,,
19.6,28.6,-99.9,20/01/1971,-31776,-52359,,,,,,
18.6,31.9,-99.9,21/01/1971,-31776,-52359,,,,,,
20.9,28,-99.9,22/01/1971,-31776,-52359,,,,,,
23.2,35.5,-99.9,23/01/1971,-31776,-52359,,,,,,
21.1,33,-99.9,24/01/1971,-31776,-52359,,,,,,
19.1,22,-99.9,25/01/1971,-31776,-52359,,,,,,
21.6,28.4,-99.9,26/01/1971,-31776,-52359,,,,,,
21.7,30.6,-99.9,27/01/1971,-31776,-52359,,,,,,
20.7,29.1,-99.9,28/01/1971,-31776,-52359,,,,,,
21.4,27.8,-99.9,29/01/1971,-31776,-52359,,,,,,
19.6,22.7,-99.9,30/01/1971,-31776,-52359,,,,,,
17.2,24.6,-99.9,31/01/1971,-31776,-52359,,,,,,
19.2,29.6,-99.9,01/02/1971,-31776,-52359,,,,,,
19.7,25.6,-99.9,02/02/1971,-31776,-52359,,,,,,
17.8,29.2,-99.9,03/02/1971,-31776,-52359,,,,,,
23.8,34.2,-99.9,04/02/1971,-31776,-52359,,,,,,
22.2,34.9,-99.9,05/02/1971,-31776,-52359,,,,,,
20.4,26.5,-99.9,06/02/1971,-31776,-52359,,,,,,
20.7,27,-99.9,07/02/1971,-31776,-52359,,,,,,
22,31.7,-99.9,08/02/1971,-31776,-52359,,,,,,
21.7,25.1,-99.9,09/02/1971,-31776,-52359,,,,,,
19.6,23.9,-99.9,10/02/1971,-31776,-52359,,,,,,
19.9,26.3,-99.9,11/02/1971,-31776,-52359,,,,,,
21.9,28,-99.9,12/02/1971,-31776,-52359,,,,,,
21,26,-99.9,13/02/1971,-31776,-52359,,,,,,
20.4,30.3,-99.9,14/02/1971,-31776,-52359,,,,,,
20.1,26.7,-99.9,15/02/1971,-31776,-52359,,,,,,
17.6,26.3,-99.9,16/02/1971,-31776,-52359,,,,,,
22.8,29.6,-99.9,17/02/1971,-31776,-52359,,,,,,
23.7,34.5,-99.9,18/02/1971,-31776,-52359,,,,,,
18.1,23.8,-99.9,19/02/1971,-31776,-52359,,,,,,
13.1,23.3,-99.9,20/02/1971,-31776,-52359,,,,,,
12.1,24.5,-99.9,21/02/1971,-31776,-52359,,,,,,
17.6,27.2,-99.9,22/02/1971,-31776,-52359,,,,,,
20.8,26.7,-99.9,23/02/1971,-31776,-52359,,,,,,
