,time,1,2,3,4
0,1991,3.0,1.0,0.0,2.0
1,1992,5.0,0.0,0.0,1.0
2,1993,2.0,0.0,3.0,4.0
3,1994,6.0,0.0,2.0,4.0
4,1995,6.0,0.0,3.0,6.0
5,1996,4.0,2.0,3.0,2.0
6,1997,1.0,0.0,0.0,4.0
7,1998,7.0,0.0,2.0,3.0
8,1999,5.0,3.0,4.0,3.0
9,2000,2.0,0.0,2.0,4.0
10,2001,3.0,0.0,0.0,4.0
11,2002,1.0,0.0,0.0,12.0
12,2003,8.0,3.0,2.0,4.0
13,2004,3.0,2.0,0.0,3.0
14,2005,4.0,1.0,4.0,7.0
15,2006,3.0,4.0,2.0,3.0
16,2007,5.0,3.0,1.0,6.0
17,2008,5.0,3.0,1.0,3.0
18,2009,2.0,0.0,0.0,3.0
19,2010,4.0,8.0,5.0,2.0
20,2011,2.0,0.0,3.0,2.0
21,2012,4.0,0.0,0.0,7.0
22,2013,5.0,1.0,0.0,6.0
23,2014,22.0,2.0,2.0,11.0
24,2015,12.0,3.0,1.0,4.0
25,2016,5.0,2.0,2.0,8.0
26,2017,9.0,0.0,1.0,5.0
27,2018,1.0,1.0,0.0,3.0
28,2019,7.0,2.0,0.0,8.0
29,2020,4.0,1.0,1.0,6.0
30,2021,2.0,2.0,4.0,8.0
31,2022,6.0,0.0,2.0,4.0
32,2023,3.0,2.0,3.0,12.0
