,time,1,2,3,4
0,1991,0,0,0,0
1,1992,0,0,0,0
2,1993,1,0,1,1
3,1994,1,0,0,2
4,1995,1,0,2,1
5,1996,2,0,0,0
6,1997,0,0,0,0
7,1998,1,2,1,0
8,1999,1,0,0,0
9,2000,0,1,0,1
10,2001,0,0,1,0
11,2002,0,4,1,5
12,2003,2,1,0,0
13,2004,0,0,0,3
14,2005,0,2,1,0
15,2006,0,1,1,2
16,2007,0,3,0,1
17,2008,0,0,0,1
18,2009,0,1,0,0
19,2010,0,0,0,0
20,2011,0,0,0,0
21,2012,0,0,0,1
22,2013,2,1,0,0
23,2014,6,0,1,3
24,2015,3,2,0,3
25,2016,1,4,0,0
26,2017,0,1,0,1
27,2018,0,0,0,0
28,2019,3,6,0,4
29,2020,2,0,2,5
30,2021,0,1,0,3
31,2022,0,1,1,0
32,2023,1,1,1,6
33,2024,6,8,0,6
