time,tmin,lat,lon
2024-01-01,19.95,-22.9,-47.06
2024-02-01,20.09,-22.9,-47.06
2024-03-01,20.73,-22.9,-47.06
2024-04-01,20.61,-22.9,-47.06
2024-05-01,19.16,-22.9,-47.06
2024-06-01,19.22,-22.9,-47.06
2024-07-01,20.68,-22.9,-47.06
2024-08-01,22.87,-22.9,-47.06
2024-09-01,20.25,-22.9,-47.06
2024-10-01,20.7,-22.9,-47.06
2024-11-01,21.31,-22.9,-47.06
2024-12-01,22.19,-22.9,-47.06
2024-01-13,21.43,-22.9,-47.06
2024-01-14,20.27,-22.9,-47.06
2024-01-15,20.87,-22.9,-47.06
2024-01-16,22.09,-22.9,-47.06
2024-01-17,21.99,-22.9,-47.06
2024-01-18,21.7,-22.9,-47.06
2024-01-19,21.06,-22.9,-47.06
2024-01-20,21.14,-22.9,-47.06
2024-01-21,20.45,-22.9,-47.06
2024-01-22,20.19,-22.9,-47.06
2024-01-23,19.47,-22.9,-47.06
2024-01-24,17.44,-22.9,-47.06
2024-01-25,18.54,-22.9,-47.06
2024-01-26,17.69,-22.9,-47.06
2024-01-27,18.74,-22.9,-47.06
2024-01-28,18.86,-22.9,-47.06
2024-01-29,17.05,-22.9,-47.06
2024-01-30,18.43,-22.9,-47.06
2024-01-31,21.55,-22.9,-47.06
2024-01-02,16.82,-22.9,-47.06
2024-02-02,19.8,-22.9,-47.06
2024-03-02,19.77,-22.9,-47.06
2024-04-02,19.24,-22.9,-47.06
2024-05-02,18.18,-22.9,-47.06
2024-06-02,20.04,-22.9,-47.06
2024-07-02,21.02,-22.9,-47.06
2024-08-02,19.66,-22.9,-47.06
2024-09-02,20.74,-22.9,-47.06
2024-10-02,21.3,-22.9,-47.06
2024-11-02,20.62,-22.9,-47.06
2024-12-02,21.41,-22.9,-47.06
2024-02-13,21.55,-22.9,-47.06
2024-02-14,21.04,-22.9,-47.06
2024-02-15,20.77,-22.9,-47.06
2024-02-16,19.06,-22.9,-47.06
2024-02-17,19.67,-22.9,-47.06
2024-02-18,19.09,-22.9,-47.06
2024-02-19,17.57,-22.9,-47.06
2024-02-20,20.22,-22.9,-47.06
2024-02-21,20.04,-22.9,-47.06
2024-02-22,19.78,-22.9,-47.06
2024-02-23,21.69,-22.9,-47.06
2024-02-24,21.65,-22.9,-47.06
2024-02-25,21.88,-22.9,-47.06
2024-02-26,22.35,-22.9,-47.06
2024-02-27,21.87,-22.9,-47.06
2024-02-28,22.79,-22.9,-47.06
2024-02-29,23.51,-22.9,-47.06
2024-01-03,19.79,-22.9,-47.06
2024-02-03,20.16,-22.9,-47.06
2024-03-03,19.92,-22.9,-47.06
2024-04-03,20.4,-22.9,-47.06
2024-05-03,22.39,-22.9,-47.06
2024-06-03,19.49,-22.9,-47.06
2024-07-03,20.56,-22.9,-47.06
2024-08-03,22.46,-22.9,-47.06
2024-09-03,21.91,-22.9,-47.06
2024-10-03,22.21,-22.9,-47.06
2024-11-03,21.34,-22.9,-47.06
2024-12-03,19.28,-22.9,-47.06
2024-03-13,20.71,-22.9,-47.06
2024-03-14,22.18,-22.9,-47.06
2024-03-15,22.33,-22.9,-47.06
2024-03-16,21.88,-22.9,-47.06
2024-03-17,22.32,-22.9,-47.06
2024-03-18,22.55,-22.9,-47.06
2024-03-19,21.84,-22.9,-47.06
2024-03-20,22.53,-22.9,-47.06
2024-03-21,22.22,-22.9,-47.06
2024-03-22,22.23,-22.9,-47.06
2024-03-23,19.16,-22.9,-47.06
2024-03-24,18.41,-22.9,-47.06
2024-03-25,18.73,-22.9,-47.06
2024-03-26,20.07,-22.9,-47.06
2024-03-27,20.15,-22.9,-47.06
2024-03-28,19.42,-22.9,-47.06
2024-03-29,18.4,-22.9,-47.06
2024-03-30,20.51,-22.9,-47.06
2024-03-31,17.97,-22.9,-47.06
2024-01-04,18.37,-22.9,-47.06
2024-02-04,19.82,-22.9,-47.06
2024-03-04,20.28,-22.9,-47.06
2024-04-04,21.42,-22.9,-47.06
2024-05-04,21.19,-22.9,-47.06
2024-06-04,20.02,-22.9,-47.06
2024-07-04,19.96,-22.9,-47.06
2024-08-04,20.43,-22.9,-47.06
2024-09-04,20.49,-22.9,-47.06
2024-10-04,19.8,-22.9,-47.06
2024-11-04,20.77,-22.9,-47.06
2024-12-04,21.85,-22.9,-47.06
2024-04-13,20.7,-22.9,-47.06
2024-04-14,21.19,-22.9,-47.06
2024-04-15,21.88,-22.9,-47.06
2024-04-16,22.27,-22.9,-47.06
2024-04-17,21.73,-22.9,-47.06
2024-04-18,19.7,-22.9,-47.06
2024-04-19,16.76,-22.9,-47.06
2024-04-20,17.01,-22.9,-47.06
2024-04-21,16.54,-22.9,-47.06
2024-04-22,14.28,-22.9,-47.06
2024-04-23,15.66,-22.9,-47.06
2024-04-24,16.52,-22.9,-47.06
2024-04-25,17.35,-22.9,-47.06
2024-04-26,20.99,-22.9,-47.06
2024-04-27,20.28,-22.9,-47.06
2024-04-28,18.83,-22.9,-47.06
2024-04-29,19.68,-22.9,-47.06
